"spotifyId","genreTop","sentiment","totalWords","totalSentiment","percentSentiment","totalCommentWords","totalCommentSentiment","percentCommentSentiment","totalWords_song","totalSentiment_song","totalWords_comment","totalSentiment_comment","song_percent","comment_percent"
"005lwxGU1tms6HGELIcUv9","pop","disgust",17,4,0.235294117647059,14,2,0.142857142857143,6129,520,4551,384,0.0848425518029042,0.0843770599868161
"005lwxGU1tms6HGELIcUv9","pop","anger",17,2,0.117647058823529,14,1,0.0714285714285714,6871,750,5373,540,0.109154417115413,0.100502512562814
"005lwxGU1tms6HGELIcUv9","pop","anticipation",17,3,0.176470588235294,14,3,0.214285714285714,7630,1229,6114,1063,0.161074705111402,0.173863264638535
"005lwxGU1tms6HGELIcUv9","pop","joy",17,3,0.176470588235294,14,2,0.142857142857143,7817,1885,6143,1308,0.24114110272483,0.212925280807423
"005lwxGU1tms6HGELIcUv9","pop","surprise",17,2,0.117647058823529,14,1,0.0714285714285714,7019,701,5820,627,0.0998717766063542,0.107731958762887
"005lwxGU1tms6HGELIcUv9","pop","trust",17,3,0.176470588235294,0,0,0,7907,1366,6112,1086,0.172758315416719,0.177683246073298
"005lwxGU1tms6HGELIcUv9","pop","fear",0,0,0,14,3,0.214285714285714,7215,859,5448,626,0.119057519057519,0.114904552129222
"005lwxGU1tms6HGELIcUv9","pop","sadness",0,0,0,14,2,0.142857142857143,7201,898,5888,701,0.124704902096931,0.119055706521739
"006hfStQk9L7MVT9RcDeva","pop","sadness",16,2,0.125,11,1,0.0909090909090909,7201,898,5888,701,0.124704902096931,0.119055706521739
"006hfStQk9L7MVT9RcDeva","pop","joy",16,7,0.4375,11,1,0.0909090909090909,7817,1885,6143,1308,0.24114110272483,0.212925280807423
"006hfStQk9L7MVT9RcDeva","pop","anticipation",16,4,0.25,11,1,0.0909090909090909,7630,1229,6114,1063,0.161074705111402,0.173863264638535
"006hfStQk9L7MVT9RcDeva","pop","surprise",16,1,0.0625,11,1,0.0909090909090909,7019,701,5820,627,0.0998717766063542,0.107731958762887
"006hfStQk9L7MVT9RcDeva","pop","trust",16,1,0.0625,11,3,0.272727272727273,7907,1366,6112,1086,0.172758315416719,0.177683246073298
"006hfStQk9L7MVT9RcDeva","pop","anger",16,1,0.0625,11,1,0.0909090909090909,6871,750,5373,540,0.109154417115413,0.100502512562814
"006hfStQk9L7MVT9RcDeva","pop","disgust",0,0,0,11,2,0.181818181818182,6129,520,4551,384,0.0848425518029042,0.0843770599868161
"006hfStQk9L7MVT9RcDeva","pop","fear",0,0,0,11,1,0.0909090909090909,7215,859,5448,626,0.119057519057519,0.114904552129222
